2019-06-08 00:04:35,550.94 M,2.25 G,0.00 B,1.11 K
2019-06-08 00:04:38,550.94 M,2.25 G,1.03 K,35.53 K
2019-06-08 00:04:40,550.94 M,2.25 G,0.00 B,756.00 B
2019-06-08 00:04:42,550.94 M,2.25 G,0.00 B,924.00 B
2019-06-08 00:04:44,550.94 M,2.25 G,0.00 B,168.00 B
2019-06-08 00:04:46,550.95 M,2.25 G,0.00 B,0.00 B
2019-06-08 00:04:48,550.95 M,2.25 G,0.00 B,216.00 B
2019-06-08 00:04:50,550.95 M,2.25 G,0.00 B,0.00 B
2019-06-08 00:04:53,550.95 M,2.25 G,0.00 B,396.00 B
2019-06-08 00:04:55,550.95 M,2.25 G,0.00 B,540.00 B
2019-06-08 00:04:57,550.95 M,2.25 G,42.00 B,504.00 B
2019-06-08 00:04:59,550.96 M,2.25 G,0.00 B,1.80 K
2019-06-08 00:05:01,550.96 M,2.25 G,0.00 B,996.00 B
2019-06-08 00:05:03,550.96 M,2.25 G,0.00 B,1.59 K
2019-06-08 00:05:06,550.96 M,2.25 G,0.00 B,972.00 B
2019-06-08 00:05:08,550.96 M,2.25 G,0.00 B,1.01 K
2019-06-08 00:05:10,550.97 M,2.25 G,2.00 K,91.21 K
2019-06-08 00:05:13,550.97 M,2.25 G,0.00 B,600.00 B
2019-06-08 00:05:15,550.97 M,2.25 G,0.00 B,396.00 B
2019-06-08 00:05:17,550.97 M,2.25 G,3.42 K,167.72 K
2019-06-08 00:05:19,550.97 M,2.25 G,50.00 B,240.00 B
2019-06-08 00:05:21,550.97 M,2.25 G,0.00 B,492.00 B
2019-06-08 00:05:23,550.97 M,2.25 G,0.00 B,168.00 B
2019-06-08 00:05:26,550.97 M,2.25 G,0.00 B,168.00 B
2019-06-08 00:05:28,550.97 M,2.25 G,0.00 B,936.00 B
2019-06-08 00:05:30,550.98 M,2.25 G,5.35 K,274.36 K
2019-06-08 00:05:32,550.98 M,2.25 G,0.00 B,1.01 K
2019-06-08 00:05:34,550.98 M,2.25 G,0.00 B,1.37 K
2019-06-08 00:05:36,550.98 M,2.25 G,462.00 B,4.20 K
2019-06-08 00:05:38,550.98 M,2.25 G,0.00 B,708.00 B
2019-06-08 00:05:40,550.98 M,2.25 G,0.00 B,612.00 B
2019-06-08 00:05:42,550.98 M,2.25 G,528.00 B,2.29 K
2019-06-08 00:05:44,550.98 M,2.25 G,0.00 B,276.00 B
2019-06-08 00:05:46,550.98 M,2.25 G,0.00 B,276.00 B
2019-06-08 00:05:48,550.98 M,2.25 G,462.00 B,1.72 K
2019-06-08 00:05:51,550.98 M,2.25 G,0.00 B,492.00 B
2019-06-08 00:05:53,550.98 M,2.25 G,0.00 B,600.00 B
2019-06-08 00:05:55,550.98 M,2.25 G,462.00 B,1.37 K
2019-06-08 00:05:57,550.99 M,2.25 G,0.00 B,1.38 K
2019-06-08 00:05:59,550.99 M,2.25 G,0.00 B,1.11 K
2019-06-08 00:06:01,550.99 M,2.25 G,2.72 K,132.64 K
2019-06-08 00:06:03,550.99 M,2.25 G,0.00 B,1.59 K
2019-06-08 00:06:05,550.99 M,2.25 G,0.00 B,1.17 K
2019-06-08 00:06:07,550.99 M,2.25 G,5.16 K,230.77 K
2019-06-08 00:06:09,551.00 M,2.25 G,0.00 B,168.00 B
2019-06-08 00:06:11,551.00 M,2.25 G,0.00 B,228.00 B
2019-06-08 00:06:14,551.00 M,2.25 G,0.00 B,0.00 B
2019-06-08 00:06:16,551.00 M,2.25 G,0.00 B,504.00 B
2019-06-08 00:06:18,551.01 M,2.25 G,7.67 K,461.33 K
2019-06-08 00:06:20,551.01 M,2.25 G,0.00 B,120.00 B
2019-06-08 00:06:23,551.01 M,2.25 G,0.00 B,816.00 B
2019-06-08 00:06:25,551.01 M,2.25 G,2.51 K,104.51 K
2019-06-08 00:06:27,551.02 M,2.25 G,0.00 B,1.50 K
2019-06-08 00:06:29,551.02 M,2.25 G,5.93 K,399.32 K
