2019-06-16 15:36:40,979.29 M,4.61 G,245.88 K,1.04 M
2019-06-16 15:36:42,979.92 M,4.61 G,328.13 K,1.40 M
2019-06-16 15:36:44,980.58 M,4.61 G,321.19 K,1.36 M
2019-06-16 15:36:46,981.23 M,4.62 G,310.62 K,1.32 M
2019-06-16 15:36:48,981.87 M,4.62 G,328.25 K,1.39 M
2019-06-16 15:36:50,982.44 M,4.62 G,312.27 K,1.33 M
2019-06-16 15:36:52,983.06 M,4.62 G,312.46 K,1.33 M
2019-06-16 15:36:54,983.68 M,4.63 G,313.18 K,1.33 M
2019-06-16 15:36:56,984.24 M,4.63 G,299.50 K,1.28 M
2019-06-16 15:36:58,984.83 M,4.63 G,283.62 K,1.21 M
2019-06-16 15:37:00,985.46 M,4.63 G,306.55 K,1.30 M
2019-06-16 15:37:02,986.08 M,4.64 G,319.51 K,1.36 M
2019-06-16 15:37:04,986.69 M,4.64 G,326.51 K,1.38 M
2019-06-16 15:37:06,987.22 M,4.64 G,262.75 K,1.11 M
2019-06-16 15:37:08,987.82 M,4.64 G,349.10 K,1.48 M
2019-06-16 15:37:10,988.42 M,4.65 G,296.91 K,1.27 M
2019-06-16 15:37:12,989.05 M,4.65 G,329.63 K,1.40 M
2019-06-16 15:37:14,989.70 M,4.65 G,329.76 K,1.41 M
2019-06-16 15:37:16,990.27 M,4.65 G,280.59 K,1.19 M
2019-06-16 15:37:18,990.86 M,4.66 G,292.78 K,1.24 M
2019-06-16 15:37:20,991.47 M,4.66 G,286.99 K,1.23 M
2019-06-16 15:37:22,992.09 M,4.66 G,329.07 K,1.39 M
2019-06-16 15:37:24,992.66 M,4.66 G,293.87 K,1.24 M
2019-06-16 15:37:26,993.25 M,4.67 G,304.60 K,1.29 M
2019-06-16 15:37:28,993.83 M,4.67 G,286.44 K,1.22 M
2019-06-16 15:37:30,994.35 M,4.67 G,237.15 K,1.01 M
2019-06-16 15:37:32,994.90 M,4.67 G,297.94 K,1.27 M
2019-06-16 15:37:34,995.49 M,4.68 G,280.62 K,1.19 M
2019-06-16 15:37:36,996.09 M,4.68 G,310.75 K,1.32 M
2019-06-16 15:37:38,996.72 M,4.68 G,307.65 K,1.31 M
2019-06-16 15:37:40,997.30 M,4.68 G,310.54 K,1.32 M
2019-06-16 15:37:42,997.91 M,4.69 G,303.30 K,1.30 M
2019-06-16 15:37:44,998.47 M,4.69 G,278.25 K,1.17 M
2019-06-16 15:37:46,999.04 M,4.69 G,297.24 K,1.27 M
2019-06-16 15:37:48,999.60 M,4.69 G,288.07 K,1.22 M
2019-06-16 15:37:50,1000.22 M,4.70 G,316.23 K,1.34 M
2019-06-16 15:37:52,1000.83 M,4.70 G,297.23 K,1.26 M
2019-06-16 15:37:54,1001.45 M,4.70 G,310.49 K,1.32 M
2019-06-16 15:37:56,1002.00 M,4.70 G,283.54 K,1.20 M
