2019-06-04 01:02:07,733.97 G,152.97 G,80.50 M,3.35 M
2019-06-04 01:02:09,734.11 G,152.98 G,72.06 M,3.18 M
2019-06-04 01:02:11,734.26 G,152.99 G,69.41 M,3.28 M
2019-06-04 01:02:13,734.39 G,152.99 G,66.41 M,3.18 M
2019-06-04 01:02:15,734.52 G,153.00 G,67.12 M,3.22 M
2019-06-04 01:02:17,734.66 G,153.00 G,65.98 M,3.23 M
2019-06-04 01:02:19,734.79 G,153.01 G,67.19 M,3.29 M
2019-06-04 01:02:21,734.92 G,153.02 G,67.27 M,3.29 M
2019-06-04 01:02:23,735.05 G,153.02 G,66.59 M,3.26 M
2019-06-04 01:02:25,735.18 G,153.03 G,64.85 M,3.16 M
2019-06-04 01:02:27,735.31 G,153.04 G,66.26 M,3.25 M
2019-06-04 01:02:29,735.45 G,153.04 G,67.81 M,3.32 M
2019-06-04 01:02:31,735.58 G,153.05 G,67.81 M,3.32 M
2019-06-04 01:02:33,735.71 G,153.06 G,66.38 M,3.26 M
2019-06-04 01:02:35,735.84 G,153.06 G,66.12 M,3.24 M
2019-06-04 01:02:37,735.97 G,153.07 G,66.16 M,3.23 M
2019-06-04 01:02:39,736.11 G,153.08 G,67.24 M,3.31 M
2019-06-04 01:02:41,736.24 G,153.08 G,67.49 M,3.30 M
2019-06-04 01:02:43,736.37 G,153.09 G,65.74 M,3.22 M
2019-06-04 01:02:45,736.50 G,153.09 G,65.76 M,3.22 M
2019-06-04 01:02:47,736.64 G,153.10 G,67.30 M,3.29 M
2019-06-04 01:02:49,736.77 G,153.11 G,67.19 M,3.29 M
2019-06-04 01:02:51,736.90 G,153.11 G,67.40 M,3.29 M
2019-06-04 01:02:53,737.03 G,153.12 G,66.75 M,3.27 M
2019-06-04 01:02:55,737.17 G,153.13 G,65.96 M,3.23 M
2019-06-04 01:02:57,737.30 G,153.13 G,66.08 M,3.23 M
2019-06-04 01:03:00,737.43 G,153.14 G,66.67 M,3.26 M
2019-06-04 01:03:02,737.57 G,153.15 G,68.05 M,3.33 M
2019-06-04 01:03:04,737.70 G,153.15 G,67.73 M,3.31 M
2019-06-04 01:03:06,737.84 G,153.16 G,67.99 M,3.33 M
2019-06-04 01:03:08,737.97 G,153.17 G,68.46 M,3.34 M
2019-06-04 01:03:10,738.10 G,153.17 G,68.00 M,3.32 M
2019-06-04 01:03:12,738.24 G,153.18 G,69.10 M,3.38 M
2019-06-04 01:03:14,738.37 G,153.19 G,67.25 M,3.29 M
2019-06-04 01:03:16,738.50 G,153.19 G,67.59 M,3.29 M
2019-06-04 01:03:18,738.64 G,153.20 G,66.65 M,3.27 M
2019-06-04 01:03:20,738.77 G,153.21 G,67.40 M,3.31 M
2019-06-04 01:03:22,738.90 G,153.21 G,67.00 M,3.28 M
2019-06-04 01:03:24,739.04 G,153.22 G,66.14 M,3.23 M
2019-06-04 01:03:26,739.17 G,153.23 G,67.49 M,3.30 M
2019-06-04 01:03:28,739.30 G,153.23 G,68.71 M,3.36 M
2019-06-04 01:03:30,739.44 G,153.24 G,68.84 M,3.36 M
2019-06-04 01:03:32,739.58 G,153.25 G,67.68 M,3.31 M
2019-06-04 01:03:34,739.71 G,153.25 G,68.34 M,3.34 M
2019-06-04 01:03:36,739.84 G,153.26 G,67.34 M,3.29 M
2019-06-04 01:03:38,739.98 G,153.26 G,68.64 M,3.36 M
2019-06-04 01:03:40,740.11 G,153.27 G,67.97 M,3.32 M
2019-06-04 01:03:42,740.24 G,153.28 G,68.43 M,3.34 M
2019-06-04 01:03:44,740.37 G,153.28 G,67.27 M,3.29 M
2019-06-04 01:03:46,740.51 G,153.29 G,66.25 M,3.24 M
2019-06-04 01:03:48,740.64 G,153.30 G,65.28 M,3.21 M
2019-06-04 01:03:50,740.77 G,153.30 G,67.94 M,3.32 M
2019-06-04 01:03:52,740.91 G,153.31 G,68.44 M,3.34 M
2019-06-04 01:03:54,741.04 G,153.32 G,67.09 M,3.28 M
2019-06-04 01:03:56,741.17 G,153.32 G,67.00 M,3.28 M
2019-06-04 01:03:58,741.30 G,153.33 G,68.16 M,3.34 M
2019-06-04 01:04:00,741.44 G,153.34 G,68.09 M,3.32 M
2019-06-04 01:04:02,741.57 G,153.34 G,68.43 M,3.35 M
2019-06-04 01:04:04,741.70 G,153.35 G,66.93 M,3.28 M
2019-06-04 01:04:06,741.83 G,153.36 G,67.65 M,3.31 M
2019-06-04 01:04:08,742.01 G,153.36 G,107.13 M,4.15 M
2019-06-04 01:04:10,742.13 G,153.37 G,57.67 M,2.83 M
2019-06-04 01:04:12,742.25 G,153.38 G,63.69 M,3.12 M
2019-06-04 01:04:14,742.39 G,153.38 G,67.46 M,3.29 M
2019-06-04 01:04:17,742.52 G,153.39 G,68.53 M,3.35 M
2019-06-04 01:04:19,742.66 G,153.39 G,66.97 M,3.17 M
2019-06-04 01:04:21,742.79 G,153.40 G,67.82 M,3.32 M
2019-06-04 01:04:23,742.92 G,153.41 G,63.58 M,3.12 M
2019-06-04 01:04:25,743.05 G,153.41 G,65.46 M,3.20 M
2019-06-04 01:04:27,743.17 G,153.42 G,63.13 M,3.09 M
2019-06-04 01:04:29,743.28 G,153.43 G,60.07 M,2.97 M
2019-06-04 01:04:31,743.41 G,153.43 G,66.84 M,3.28 M
2019-06-04 01:04:33,743.54 G,153.44 G,66.11 M,3.23 M
2019-06-04 01:04:35,743.68 G,153.44 G,66.33 M,3.25 M
