query,time,httpCalls,nbResults,errors
query_3358,,0
query_335,11.655,1,0
query_3360,3.482,1,0
query_3361,1.714,1,0
query_3362,21.424,1,0
query_3363,0.377,1,0
query_3364,57.823,1,0
query_3365,0.934,1,0
query_3366,12.888,1,0
query_3367,53.35,1,0
query_3368,5.748,1,0
query_3369,11.03,1,0
query_336,2.56,1,0
query_3370,1.651,1,0
query_3371,5.661,1,0
query_3372,0.031,1,0
query_3374,47.179,1,0
query_3375,0.023,1,0
query_3376,0.026,1,0
query_3377,0.065,1,0
query_3378,13.163,1,0
query_337,83.549,1,0
query_3380,49.934,1,0
query_3381,1.507,1,0
query_3382,80.73,1,0
query_3384,10.026,1,0
query_3385,3.295,1,0
query_3387,26.398,1,0
query_3388,6.47,1,0
query_3389,0.227,1,0
query_3390,9.951,1,0
query_3391,0.027,1,0
query_3392,63.33,1,0
query_3393,88.797,1,0
query_3394,6.146,1,0
query_3395,2.352,1,0
query_3396,0.221,1,0
query_3397,23.497,1,0
query_3399,15.908,1,0
query_339,8.73,1,0
query_33,0.174,1,0
query_3400,,0
query_3401,1.874,1,0
query_3402,0.033,1,0
query_3404,78.902,1,0
query_3406,6.477,1,0
query_3407,40.977,1,0
query_3408,7.146,1,0
query_340,83.794,1,0
query_3410,91.749,1,0
query_3411,6.25,1,0
query_3412,1.401,1,0
query_3413,28.234,1,0
query_3414,9.751,1,0
query_3415,14.915,1,0
query_3416,182.259,1,0
query_3419,0.078,1,0
query_341,33.109,1,0
query_3420,0.497,1,0
query_3422,6.894,1,0
query_3426,6.312,1,0
query_3427,77.793,1,0
query_3428,34.014,1,0
query_3429,1.039,1,0
query_342,5.081,1,0
query_3431,0.058,1,0
query_3433,15.217,1,0
query_3434,46.709,1,0
query_3435,5.507,1,0
query_3436,3.5,1,0
query_3437,0.255,1,0
query_3438,24.366,1,0
query_3439,14.596,1,0
query_343,4.296,1,0
query_3440,3.023,1,0
query_3441,13.099,1,0
query_3442,23.717,1,0
query_3444,0.223,1,0
query_3445,1.49,1,0
query_3447,2.034,1,0
query_3448,12.605,1,0
query_3449,6.674,1,0
query_344,18.562,1,0
query_3450,18.487,1,0
query_3451,41.939,1,0
query_3452,1.791,1,0
query_3454,88.262,1,0
query_3455,2.863,1,0
query_3458,3.75,1,0
query_3459,92.719,1,0
query_345,12.964,1,0
query_3460,25.23,1,0
query_3461,7.162,1,0
query_3462,2.543,1,0
query_3463,0.025,1,0
query_3465,0.172,1,0
query_3466,0.026,1,0
query_3467,12.593,1,0
query_3468,81.802,1,0
query_3469,44.063,1,0
query_346,0.046,1,0
query_3470,17.324,1,0
query_3471,0.368,1,0
query_3472,1.485,1,0
query_3474,6.405,1,0
query_3476,,0
query_3478,42.137,1,0
query_3479,264.645,1,0
query_347,0.63,1,0
query_3480,5.802,1,0
query_3481,75.602,1,0
query_3482,0.213,1,0
query_3483,0.024,1,0
query_3484,29.079,1,0
query_3485,34.192,1,0
query_3486,16.936,1,0
query_3487,0.445,1,0
query_3488,3.96,1,0
query_3489,0.034,1,0
query_348,1.381,1,0
query_3491,88.183,1,0
query_3492,0.025,1,0
query_3493,0.623,1,0
query_3495,0.971,1,0
query_3496,0.098,1,0
query_3497,82.927,1,0
query_3499,0.029,1,0
query_349,0.652,1,0
query_34,1.246,1,0
query_3500,0.206,1,0
query_3503,33.263,1,0
query_3504,71.527,1,0
query_3505,10.767,1,0
query_3506,161.198,1,0
query_3507,0.197,1,0
query_3508,1.571,1,0
query_3509,62.996,1,0
query_350,37.717,1,0
query_3510,0.166,1,0
query_3512,47.047,1,0
query_3513,0.119,1,0
query_3514,0.241,1,0
query_3515,37.53,1,0
query_3516,0.024,1,0
query_3517,0.729,1,0
query_3518,0.172,1,0
query_3520,11.493,1,0
query_3523,39.678,1,0
query_3524,0.027,1,0
query_3526,5.266,1,0
query_3527,,0
query_3528,2.711,1,0
query_3529,8.556,1,0
query_352,45.931,1,0
query_541,1.593,1,0
query_7242,8.167,1,0
