2019-06-23 02:43:51,21.86 G,312.01 G,1.08 K,2.06 K
2019-06-23 02:43:53,21.86 G,312.01 G,42.00 B,780.00 B
2019-06-23 02:43:55,21.86 G,312.01 G,0.00 B,2.18 K
2019-06-23 02:43:57,21.86 G,312.01 G,0.00 B,840.00 B
2019-06-23 02:43:59,21.86 G,312.01 G,0.00 B,1.06 K
2019-06-23 02:44:01,21.86 G,312.01 G,0.00 B,492.00 B
2019-06-23 02:44:03,21.86 G,312.01 G,0.00 B,648.00 B
2019-06-23 02:44:05,21.86 G,312.01 G,0.00 B,660.00 B
2019-06-23 02:44:07,21.86 G,312.01 G,0.00 B,492.00 B
2019-06-23 02:44:09,21.86 G,312.01 G,0.00 B,432.00 B
2019-06-23 02:44:11,21.86 G,312.01 G,0.00 B,924.00 B
2019-06-23 02:44:13,21.86 G,312.01 G,0.00 B,1.03 K
2019-06-23 02:44:15,21.86 G,312.01 G,0.00 B,396.00 B
2019-06-23 02:44:17,21.86 G,312.01 G,0.00 B,1.50 K
2019-06-23 02:44:19,21.86 G,312.01 G,204.00 B,1.00 K
2019-06-23 02:44:21,21.86 G,312.01 G,0.00 B,1008.00 B
2019-06-23 02:44:23,21.86 G,312.01 G,0.00 B,756.00 B
2019-06-23 02:44:25,21.86 G,312.01 G,0.00 B,336.00 B
2019-06-23 02:44:27,21.86 G,312.01 G,0.00 B,806.00 B
2019-06-23 02:44:29,21.86 G,312.01 G,0.00 B,816.00 B
2019-06-23 02:44:31,21.86 G,312.01 G,0.00 B,900.00 B
2019-06-23 02:44:33,21.86 G,312.01 G,0.00 B,876.00 B
2019-06-23 02:44:35,21.86 G,312.01 G,0.00 B,996.00 B
2019-06-23 02:44:37,21.86 G,312.01 G,0.00 B,444.00 B
2019-06-23 02:44:39,21.86 G,312.01 G,0.00 B,1.20 K
2019-06-23 02:44:41,21.86 G,312.01 G,0.00 B,1.58 K
2019-06-23 02:44:43,21.86 G,312.01 G,42.00 B,768.00 B
2019-06-23 02:44:45,21.86 G,312.01 G,0.00 B,1.24 K
2019-06-23 02:44:47,21.86 G,312.01 G,0.00 B,288.00 B
2019-06-23 02:44:49,21.86 G,312.01 G,0.00 B,768.00 B
2019-06-23 02:44:51,21.86 G,312.01 G,512.00 B,1.73 K
2019-06-23 02:44:53,21.86 G,312.01 G,0.00 B,984.00 B
2019-06-23 02:44:55,21.86 G,312.01 G,512.00 B,1.43 K
2019-06-23 02:44:57,21.86 G,312.01 G,0.00 B,720.00 B
2019-06-23 02:44:59,21.86 G,312.01 G,0.00 B,564.00 B
2019-06-23 02:45:02,21.86 G,312.01 G,1.09 K,2.00 K
