2019-06-14 12:30:06,3.21 T,171.28 G,21.33 M,4.74 M
2019-06-14 12:30:08,3.21 T,171.29 G,20.88 M,4.63 M
2019-06-14 12:30:10,3.21 T,171.29 G,20.41 M,4.52 M
2019-06-14 12:30:12,3.21 T,171.30 G,19.96 M,4.42 M
2019-06-14 12:30:14,3.21 T,171.31 G,20.22 M,4.48 M
2019-06-14 12:30:16,3.21 T,171.32 G,19.08 M,4.23 M
2019-06-14 12:30:18,3.21 T,171.33 G,21.02 M,4.66 M
2019-06-14 12:30:20,3.21 T,171.34 G,20.87 M,4.64 M
2019-06-14 12:30:22,3.21 T,171.35 G,20.72 M,4.57 M
2019-06-14 12:30:24,3.21 T,171.36 G,20.69 M,4.58 M
2019-06-14 12:30:26,3.21 T,171.37 G,20.32 M,4.48 M
2019-06-14 12:30:28,3.21 T,171.38 G,20.44 M,4.51 M
2019-06-14 12:30:30,3.21 T,171.38 G,21.24 M,4.68 M
2019-06-14 12:30:32,3.21 T,171.39 G,21.07 M,4.64 M
2019-06-14 12:30:34,3.21 T,171.40 G,21.22 M,4.67 M
2019-06-14 12:30:36,3.21 T,171.41 G,21.06 M,4.64 M
2019-06-14 12:30:38,3.21 T,171.42 G,21.03 M,4.63 M
2019-06-14 12:30:40,3.21 T,171.43 G,20.81 M,4.58 M
2019-06-14 12:30:42,3.21 T,171.44 G,20.35 M,4.49 M
2019-06-14 12:30:44,3.21 T,171.45 G,20.12 M,4.43 M
2019-06-14 12:30:46,3.21 T,171.46 G,20.81 M,4.58 M
2019-06-14 12:30:48,3.21 T,171.47 G,20.46 M,4.50 M
2019-06-14 12:30:50,3.21 T,171.47 G,19.93 M,4.38 M
2019-06-14 12:30:52,3.21 T,171.48 G,18.67 M,4.06 M
2019-06-14 12:30:54,3.21 T,171.49 G,20.85 M,4.58 M
2019-06-14 12:30:56,3.21 T,171.50 G,20.14 M,4.40 M
2019-06-14 12:30:58,3.22 T,171.51 G,20.07 M,4.38 M
2019-06-14 12:31:01,3.22 T,171.52 G,19.48 M,4.28 M
2019-06-14 12:31:03,3.22 T,171.53 G,19.99 M,4.39 M
2019-06-14 12:31:05,3.22 T,171.53 G,20.50 M,4.53 M
2019-06-14 12:31:07,3.22 T,171.54 G,20.56 M,4.54 M
2019-06-14 12:31:09,3.22 T,171.55 G,19.96 M,4.38 M
2019-06-14 12:31:11,3.22 T,171.56 G,20.15 M,4.43 M
2019-06-14 12:31:13,3.22 T,171.57 G,19.95 M,4.40 M
2019-06-14 12:31:15,3.22 T,171.58 G,19.85 M,4.37 M
2019-06-14 12:31:17,3.22 T,171.59 G,19.63 M,4.32 M
2019-06-14 12:31:19,3.22 T,171.60 G,19.51 M,4.29 M
2019-06-14 12:31:21,3.22 T,171.60 G,19.60 M,4.34 M
2019-06-14 12:31:23,3.22 T,171.61 G,19.85 M,4.37 M
2019-06-14 12:31:25,3.22 T,171.62 G,19.20 M,4.21 M
2019-06-14 12:31:27,3.22 T,171.63 G,19.98 M,4.40 M
2019-06-14 12:31:29,3.22 T,171.64 G,20.25 M,4.43 M
2019-06-14 12:31:31,3.22 T,171.65 G,20.31 M,4.46 M
2019-06-14 12:31:33,3.22 T,171.66 G,20.15 M,4.43 M
2019-06-14 12:31:35,3.22 T,171.67 G,19.76 M,4.34 M
2019-06-14 12:31:37,3.22 T,171.67 G,20.41 M,4.52 M
2019-06-14 12:31:39,3.22 T,171.68 G,20.52 M,4.52 M
2019-06-14 12:31:41,3.22 T,171.69 G,19.62 M,4.32 M
2019-06-14 12:31:43,3.22 T,171.70 G,19.64 M,4.32 M
2019-06-14 12:31:46,3.22 T,171.71 G,19.34 M,4.26 M
2019-06-14 12:31:48,3.22 T,171.72 G,19.53 M,4.29 M
2019-06-14 12:31:50,3.22 T,171.73 G,18.98 M,4.17 M
2019-06-14 12:31:52,3.22 T,171.74 G,19.37 M,4.25 M
2019-06-14 12:31:54,3.22 T,171.74 G,19.37 M,4.27 M
2019-06-14 12:31:56,3.22 T,171.75 G,18.93 M,4.17 M
2019-06-14 12:31:58,3.22 T,171.76 G,19.13 M,4.21 M
2019-06-14 12:32:00,3.22 T,171.77 G,19.38 M,4.28 M
2019-06-14 12:32:02,3.22 T,171.78 G,19.38 M,4.27 M
2019-06-14 12:32:04,3.22 T,171.79 G,19.38 M,4.26 M
2019-06-14 12:32:06,3.22 T,171.79 G,19.10 M,4.21 M
2019-06-14 12:32:08,3.22 T,171.80 G,19.58 M,4.32 M
2019-06-14 12:32:10,3.22 T,171.81 G,19.49 M,4.31 M
2019-06-14 12:32:12,3.22 T,171.82 G,19.33 M,4.25 M
2019-06-14 12:32:14,3.22 T,171.83 G,18.85 M,4.15 M
2019-06-14 12:32:16,3.22 T,171.84 G,19.12 M,4.21 M
2019-06-14 12:32:18,3.22 T,171.85 G,19.24 M,4.22 M
2019-06-14 12:32:20,3.22 T,171.85 G,19.37 M,4.27 M
2019-06-14 12:32:22,3.22 T,171.86 G,19.49 M,4.30 M
2019-06-14 12:32:24,3.22 T,171.87 G,19.47 M,4.30 M
2019-06-14 12:32:26,3.22 T,171.88 G,18.95 M,4.18 M
2019-06-14 12:32:28,3.22 T,171.89 G,19.63 M,4.35 M
2019-06-14 12:32:30,3.22 T,171.90 G,19.36 M,4.27 M
2019-06-14 12:32:32,3.22 T,171.90 G,19.39 M,4.27 M
2019-06-14 12:32:34,3.22 T,171.91 G,19.26 M,4.24 M
2019-06-14 12:32:37,3.22 T,171.92 G,18.90 M,4.17 M
2019-06-14 12:32:39,3.22 T,171.93 G,19.85 M,4.37 M
2019-06-14 12:32:41,3.22 T,171.94 G,19.70 M,4.34 M
2019-06-14 12:32:43,3.22 T,171.95 G,18.75 M,4.08 M
2019-06-14 12:32:45,3.22 T,171.95 G,20.52 M,4.67 M
2019-06-14 12:32:47,3.22 T,171.96 G,22.98 M,5.23 M
2019-06-14 12:32:49,3.22 T,171.98 G,24.22 M,5.51 M
2019-06-14 12:32:51,3.22 T,171.99 G,24.12 M,5.48 M
2019-06-14 12:32:53,3.22 T,172.00 G,24.09 M,5.47 M
2019-06-14 12:32:55,3.22 T,172.01 G,23.43 M,5.33 M
2019-06-14 12:32:57,3.22 T,172.02 G,23.77 M,5.41 M
2019-06-14 12:32:59,3.22 T,172.03 G,22.63 M,5.06 M
2019-06-14 12:33:01,3.22 T,172.04 G,23.61 M,5.19 M
2019-06-14 12:33:03,3.22 T,172.05 G,24.26 M,5.51 M
2019-06-14 12:33:05,3.22 T,172.06 G,24.05 M,5.49 M
2019-06-14 12:33:07,3.22 T,172.07 G,24.42 M,5.55 M
2019-06-14 12:33:09,3.22 T,172.08 G,24.19 M,5.50 M
2019-06-14 12:33:11,3.22 T,172.09 G,24.34 M,5.55 M
2019-06-14 12:33:13,3.22 T,172.10 G,24.00 M,5.44 M
2019-06-14 12:33:15,3.22 T,172.12 G,24.12 M,5.45 M
2019-06-14 12:33:17,3.22 T,172.13 G,23.91 M,5.21 M
2019-06-14 12:33:19,3.22 T,172.14 G,23.87 M,5.39 M
2019-06-14 12:33:21,3.22 T,172.15 G,23.81 M,5.38 M
2019-06-14 12:33:23,3.22 T,172.16 G,24.11 M,5.48 M
2019-06-14 12:33:25,3.22 T,172.17 G,24.14 M,5.48 M
2019-06-14 12:33:27,3.22 T,172.18 G,24.15 M,5.48 M
