2019-06-14 16:00:49,32.32 G,313.64 G,266.85 K,1.22 M
2019-06-14 16:00:51,32.32 G,313.64 G,248.14 K,1.13 M
2019-06-14 16:00:53,32.32 G,313.64 G,246.48 K,1.12 M
2019-06-14 16:00:55,32.32 G,313.65 G,257.20 K,1.16 M
2019-06-14 16:00:57,32.32 G,313.65 G,267.34 K,1.20 M
2019-06-14 16:00:59,32.32 G,313.65 G,260.23 K,1.17 M
2019-06-14 16:01:01,32.32 G,313.65 G,235.76 K,1.09 M
2019-06-14 16:01:03,32.32 G,313.66 G,293.45 K,1.36 M
2019-06-14 16:01:05,32.32 G,313.66 G,252.96 K,1.18 M
2019-06-14 16:01:07,32.32 G,313.66 G,255.38 K,1.17 M
2019-06-14 16:01:09,32.32 G,313.66 G,268.58 K,1.21 M
2019-06-14 16:01:11,32.32 G,313.66 G,227.36 K,1.02 M
2019-06-14 16:01:13,32.32 G,313.67 G,241.73 K,1.09 M
2019-06-14 16:01:15,32.32 G,313.67 G,265.01 K,1.19 M
2019-06-14 16:01:17,32.32 G,313.67 G,272.54 K,1.25 M
2019-06-14 16:01:19,32.32 G,313.67 G,260.11 K,1.18 M
2019-06-14 16:01:21,32.32 G,313.68 G,233.02 K,1.08 M
2019-06-14 16:01:23,32.32 G,313.68 G,238.43 K,1.09 M
2019-06-14 16:01:25,32.32 G,313.68 G,234.32 K,1.06 M
