2019-06-08 00:01:14,48.86 M,1.91 G,990.00 B,4.30 K
2019-06-08 00:01:16,48.86 M,1.91 G,462.00 B,3.59 K
2019-06-08 00:01:18,48.86 M,1.91 G,660.00 B,3.19 K
2019-06-08 00:01:21,48.86 M,1.91 G,0.00 B,540.00 B
2019-06-08 00:01:24,48.86 M,1.91 G,0.00 B,120.00 B
2019-06-08 00:01:26,48.86 M,1.91 G,0.00 B,504.00 B
2019-06-08 00:01:28,48.86 M,1.91 G,0.00 B,396.00 B
2019-06-08 00:01:30,48.86 M,1.91 G,462.00 B,1.76 K
2019-06-08 00:01:32,48.86 M,1.91 G,0.00 B,1.22 K
2019-06-08 00:01:34,48.87 M,1.91 G,1.10 K,8.17 K
2019-06-08 00:01:36,48.87 M,1.91 G,42.00 B,1.11 K
2019-06-08 00:01:38,48.87 M,1.91 G,0.00 B,1.16 K
2019-06-08 00:01:40,48.87 M,1.91 G,2.90 K,147.24 K
2019-06-08 00:01:42,48.87 M,1.91 G,0.00 B,1.82 K
2019-06-08 00:01:44,48.87 M,1.91 G,0.00 B,768.00 B
2019-06-08 00:01:47,48.87 M,1.91 G,0.00 B,612.00 B
2019-06-08 00:01:49,48.87 M,1.91 G,0.00 B,60.00 B
2019-06-08 00:01:51,48.88 M,1.91 G,9.49 K,487.64 K
2019-06-08 00:01:53,48.88 M,1.91 G,0.00 B,288.00 B
2019-06-08 00:01:55,48.89 M,1.91 G,4.06 K,222.08 K
2019-06-08 00:01:57,48.89 M,1.91 G,0.00 B,324.00 B
2019-06-08 00:01:59,48.89 M,1.91 G,396.00 B,2.17 K
2019-06-08 00:02:02,48.89 M,1.91 G,0.00 B,276.00 B
2019-06-08 00:02:04,48.89 M,1.91 G,0.00 B,1.91 K
2019-06-08 00:02:06,48.89 M,1.91 G,0.00 B,1.58 K
2019-06-08 00:02:08,48.89 M,1.91 G,84.00 B,1.44 K
2019-06-08 00:02:10,48.89 M,1.91 G,462.00 B,1.98 K
2019-06-08 00:02:12,48.89 M,1.91 G,0.00 B,924.00 B
2019-06-08 00:02:14,48.89 M,1.91 G,0.00 B,864.00 B
2019-06-08 00:02:17,48.90 M,1.91 G,0.00 B,216.00 B
2019-06-08 00:02:19,48.90 M,1.91 G,528.00 B,1.99 K
2019-06-08 00:02:22,48.90 M,1.91 G,0.00 B,168.00 B
2019-06-08 00:02:24,48.90 M,1.91 G,0.00 B,168.00 B
2019-06-08 00:02:26,48.90 M,1.91 G,528.00 B,2.93 K
2019-06-08 00:02:28,48.90 M,1.91 G,0.00 B,108.00 B
2019-06-08 00:02:30,48.90 M,1.91 G,0.00 B,1.16 K
2019-06-08 00:02:33,48.90 M,1.91 G,0.00 B,1.48 K
2019-06-08 00:02:35,48.90 M,1.91 G,0.00 B,444.00 B
2019-06-08 00:02:37,48.90 M,1.91 G,1.48 K,49.17 K
2019-06-08 00:02:39,48.90 M,1.91 G,0.00 B,1.17 K
2019-06-08 00:02:41,48.90 M,1.91 G,0.00 B,1.16 K
2019-06-08 00:02:44,48.91 M,1.91 G,0.00 B,648.00 B
2019-06-08 00:02:46,48.91 M,1.91 G,0.00 B,336.00 B
2019-06-08 00:02:49,48.91 M,1.91 G,0.00 B,276.00 B
2019-06-08 00:02:51,48.91 M,1.91 G,0.00 B,168.00 B
2019-06-08 00:02:54,48.91 M,1.91 G,0.00 B,60.00 B
2019-06-08 00:02:56,48.91 M,1.91 G,0.00 B,552.00 B
2019-06-08 00:02:59,48.91 M,1.91 G,0.00 B,1.05 K
2019-06-08 00:03:01,48.91 M,1.91 G,0.00 B,1.71 K
2019-06-08 00:03:03,48.91 M,1.91 G,1.48 K,41.03 K
2019-06-08 00:03:05,48.92 M,1.91 G,0.00 B,1.75 K
2019-06-08 00:03:07,48.92 M,1.91 G,42.00 B,1.29 K
2019-06-08 00:03:10,48.92 M,1.91 G,42.00 B,1.11 K
2019-06-08 00:03:12,48.92 M,1.91 G,0.00 B,1.05 K
2019-06-08 00:03:15,48.92 M,1.91 G,0.00 B,216.00 B
2019-06-08 00:03:17,48.92 M,1.91 G,0.00 B,216.00 B
2019-06-08 00:03:21,48.93 M,1.91 G,0.00 B,168.00 B
2019-06-08 00:03:23,48.93 M,1.91 G,0.00 B,276.00 B
2019-06-08 00:03:25,48.93 M,1.91 G,1.16 K,8.14 K
2019-06-08 00:03:27,48.93 M,1.91 G,0.00 B,0.00 B
2019-06-08 00:03:29,48.93 M,1.91 G,0.00 B,540.00 B
2019-06-08 00:03:32,48.93 M,1.91 G,0.00 B,1.02 K
2019-06-08 00:03:34,48.93 M,1.91 G,0.00 B,1.86 K
2019-06-08 00:03:36,48.94 M,1.91 G,0.00 B,1.22 K
2019-06-08 00:03:38,48.94 M,1.91 G,0.00 B,1.27 K
2019-06-08 00:03:40,48.94 M,1.91 G,42.00 B,1.11 K
2019-06-08 00:03:42,48.94 M,1.91 G,2.51 K,26.27 K
2019-06-08 00:03:44,48.94 M,1.91 G,0.00 B,444.00 B
2019-06-08 00:03:46,48.94 M,1.91 G,0.00 B,552.00 B
2019-06-08 00:03:48,48.95 M,1.91 G,1.80 K,542.00 B
2019-06-08 00:03:50,48.95 M,1.91 G,0.00 B,216.00 B
2019-06-08 00:03:52,48.95 M,1.91 G,73.00 B,361.00 B
2019-06-08 00:03:54,48.95 M,1.91 G,0.00 B,324.00 B
2019-06-08 00:03:57,48.95 M,1.91 G,0.00 B,324.00 B
2019-06-08 00:03:59,48.95 M,1.91 G,0.00 B,216.00 B
2019-06-08 00:04:02,48.95 M,1.91 G,0.00 B,924.00 B
2019-06-08 00:04:04,48.95 M,1.91 G,0.00 B,1.59 K
2019-06-08 00:04:07,48.96 M,1.91 G,0.00 B,1.17 K
2019-06-08 00:04:09,48.96 M,1.91 G,42.00 B,768.00 B
2019-06-08 00:04:12,48.96 M,1.91 G,0.00 B,540.00 B
2019-06-08 00:04:14,48.96 M,1.91 G,0.00 B,108.00 B
2019-06-08 00:04:16,48.96 M,1.91 G,0.00 B,612.00 B
2019-06-08 00:04:18,48.96 M,1.91 G,0.00 B,0.00 B
2019-06-08 00:04:20,48.97 M,1.91 G,5.29 K,310.37 K
2019-06-08 00:04:22,48.97 M,1.91 G,0.00 B,396.00 B
2019-06-08 00:04:24,48.98 M,1.91 G,8.58 K,355.15 K
2019-06-08 00:04:26,48.98 M,1.91 G,0.00 B,972.00 B
2019-06-08 00:04:28,48.98 M,1.91 G,0.00 B,600.00 B
2019-06-08 00:04:30,48.99 M,1.91 G,0.00 B,660.00 B
2019-06-08 00:04:32,48.99 M,1.91 G,0.00 B,1.70 K
2019-06-08 00:04:34,48.99 M,1.91 G,0.00 B,1.59 K
2019-06-08 00:04:36,48.99 M,1.91 G,0.00 B,1.12 K
2019-06-08 00:04:38,49.00 M,1.91 G,0.00 B,816.00 B
2019-06-08 00:04:40,49.00 M,1.91 G,0.00 B,876.00 B
2019-06-08 00:04:42,49.01 M,1.91 G,3.87 K,204.37 K
2019-06-08 00:04:44,49.01 M,1.91 G,0.00 B,384.00 B
2019-06-08 00:04:46,49.01 M,1.91 G,0.00 B,0.00 B
2019-06-08 00:04:48,49.02 M,1.91 G,7.10 K,355.31 K
2019-06-08 00:04:50,49.02 M,1.91 G,0.00 B,0.00 B
