2019-07-16 16:14:10,614.93 M,8.47 G,144.00 B,1.28 K
2019-07-16 16:14:12,614.93 M,8.47 G,0.00 B,540.00 B
2019-07-16 16:14:14,614.93 M,8.47 G,0.00 B,540.00 B
2019-07-16 16:14:16,614.93 M,8.47 G,504.00 B,1.60 K
2019-07-16 16:14:18,614.93 M,8.47 G,0.00 B,756.00 B
2019-07-16 16:14:21,614.93 M,8.47 G,0.00 B,276.00 B
2019-07-16 16:14:23,614.93 M,8.47 G,0.00 B,1.02 K
2019-07-16 16:14:25,614.95 M,8.47 G,0.00 B,1.04 K
2019-07-16 16:14:27,614.95 M,8.47 G,0.00 B,1.01 K
2019-07-16 16:14:29,614.95 M,8.47 G,0.00 B,924.00 B
2019-07-16 16:14:31,614.95 M,8.47 G,0.00 B,540.00 B
2019-07-16 16:14:33,614.95 M,8.47 G,42.00 B,636.00 B
2019-07-16 16:14:35,614.97 M,8.47 G,18.37 K,679.32 K
2019-07-16 16:14:37,614.97 M,8.47 G,0.00 B,756.00 B
2019-07-16 16:14:39,614.97 M,8.47 G,0.00 B,384.00 B
2019-07-16 16:14:41,614.97 M,8.47 G,144.00 B,1.22 K
2019-07-16 16:14:43,614.98 M,8.47 G,14.95 K,668.26 K
2019-07-16 16:14:45,614.98 M,8.47 G,0.00 B,648.00 B
2019-07-16 16:14:47,614.98 M,8.47 G,0.00 B,600.00 B
2019-07-16 16:14:49,615.00 M,8.47 G,12.89 K,540.11 K
2019-07-16 16:14:51,615.00 M,8.47 G,0.00 B,276.00 B
2019-07-16 16:14:53,615.00 M,8.47 G,0.00 B,708.00 B
2019-07-16 16:14:55,615.00 M,8.47 G,0.00 B,660.00 B
2019-07-16 16:14:57,615.02 M,8.48 G,0.00 B,924.00 B
2019-07-16 16:14:59,615.02 M,8.48 G,0.00 B,13.01 K
2019-07-16 16:15:01,615.02 M,8.48 G,386.00 B,970.00 B
2019-07-16 16:15:03,615.02 M,8.48 G,0.00 B,600.00 B
2019-07-16 16:15:05,615.02 M,8.48 G,157.00 B,649.00 B
2019-07-16 16:15:07,615.02 M,8.48 G,42.00 B,996.00 B
2019-07-16 16:15:09,615.04 M,8.48 G,140.00 B,1.60 K
2019-07-16 16:15:11,615.05 M,8.48 G,144.00 B,882.00 B
2019-07-16 16:15:13,615.05 M,8.48 G,0.00 B,552.00 B
2019-07-16 16:15:15,615.05 M,8.48 G,0.00 B,1.05 K
2019-07-16 16:15:17,615.06 M,8.48 G,9.97 K,397.37 K
2019-07-16 16:15:19,615.07 M,8.48 G,0.00 B,228.00 B
2019-07-16 16:15:21,615.07 M,8.48 G,0.00 B,708.00 B
2019-07-16 16:15:23,615.07 M,8.48 G,0.00 B,864.00 B
2019-07-16 16:15:25,615.07 M,8.48 G,0.00 B,540.00 B
2019-07-16 16:15:27,615.07 M,8.48 G,0.00 B,1.01 K
2019-07-16 16:15:29,615.09 M,8.48 G,18.18 K,678.94 K
2019-07-16 16:15:31,615.09 M,8.48 G,0.00 B,756.00 B
2019-07-16 16:15:33,615.09 M,8.48 G,0.00 B,840.00 B
2019-07-16 16:15:35,615.09 M,8.48 G,0.00 B,876.00 B
2019-07-16 16:15:37,615.09 M,8.48 G,42.00 B,780.00 B
2019-07-16 16:15:39,615.09 M,8.48 G,0.00 B,780.00 B
2019-07-16 16:15:41,615.11 M,8.48 G,18.87 K,663.45 K
2019-07-16 16:15:43,615.11 M,8.48 G,0.00 B,492.00 B
2019-07-16 16:15:45,615.11 M,8.48 G,0.00 B,540.00 B
2019-07-16 16:15:47,615.11 M,8.48 G,0.00 B,660.00 B
2019-07-16 16:15:49,615.11 M,8.48 G,0.00 B,648.00 B
2019-07-16 16:15:51,615.11 M,8.48 G,0.00 B,936.00 B
2019-07-16 16:15:53,615.13 M,8.48 G,13.84 K,517.91 K
2019-07-16 16:15:55,615.13 M,8.48 G,0.00 B,540.00 B
2019-07-16 16:15:57,615.13 M,8.48 G,0.00 B,864.00 B
2019-07-16 16:15:59,615.13 M,8.48 G,0.00 B,13.17 K
2019-07-16 16:16:01,615.13 M,8.48 G,204.00 B,738.00 B
2019-07-16 16:16:03,615.13 M,8.48 G,0.00 B,276.00 B
2019-07-16 16:16:05,615.15 M,8.48 G,18.73 K,671.55 K
2019-07-16 16:16:07,615.15 M,8.48 G,0.00 B,1.18 K
2019-07-16 16:16:09,615.15 M,8.48 G,0.00 B,888.00 B
2019-07-16 16:16:11,615.15 M,8.48 G,144.00 B,1.12 K
2019-07-16 16:16:13,615.15 M,8.48 G,0.00 B,228.00 B
2019-07-16 16:16:15,615.15 M,8.48 G,0.00 B,444.00 B
2019-07-16 16:16:17,615.16 M,8.48 G,19.02 K,683.10 K
2019-07-16 16:16:19,615.16 M,8.48 G,0.00 B,1.11 K
2019-07-16 16:16:21,615.17 M,8.48 G,0.00 B,1.70 K
2019-07-16 16:16:23,615.17 M,8.48 G,0.00 B,768.00 B
2019-07-16 16:16:25,615.18 M,8.48 G,17.92 K,673.50 K
2019-07-16 16:16:27,615.18 M,8.48 G,0.00 B,1.01 K
2019-07-16 16:16:29,615.18 M,8.48 G,0.00 B,600.00 B
2019-07-16 16:16:31,615.18 M,8.48 G,0.00 B,936.00 B
2019-07-16 16:16:33,615.18 M,8.48 G,0.00 B,984.00 B
2019-07-16 16:16:35,615.20 M,8.48 G,18.05 K,681.00 K
2019-07-16 16:16:37,615.20 M,8.48 G,0.00 B,816.00 B
2019-07-16 16:16:39,615.20 M,8.48 G,0.00 B,828.00 B
2019-07-16 16:16:41,615.20 M,8.48 G,54.00 B,1.01 K
2019-07-16 16:16:43,615.20 M,8.48 G,0.00 B,216.00 B
2019-07-16 16:16:45,615.20 M,8.48 G,0.00 B,924.00 B
2019-07-16 16:16:47,615.22 M,8.48 G,19.33 K,694.16 K
2019-07-16 16:16:49,615.22 M,8.48 G,0.00 B,228.00 B
2019-07-16 16:16:51,615.22 M,8.48 G,0.00 B,516.00 B
2019-07-16 16:16:53,615.22 M,8.48 G,0.00 B,1.44 K
2019-07-16 16:16:55,615.22 M,8.48 G,656.00 B,1.09 K
2019-07-16 16:16:57,615.22 M,8.48 G,0.00 B,936.00 B
2019-07-16 16:16:59,615.24 M,8.48 G,16.08 K,647.20 K
2019-07-16 16:17:01,615.24 M,8.48 G,0.00 B,708.00 B
2019-07-16 16:17:03,615.24 M,8.48 G,0.00 B,552.00 B
2019-07-16 16:17:05,615.24 M,8.48 G,151.00 B,1.40 K
2019-07-16 16:17:07,615.25 M,8.48 G,4.57 K,5.27 K
2019-07-16 16:17:09,615.25 M,8.48 G,0.00 B,540.00 B
2019-07-16 16:17:11,615.25 M,8.48 G,54.00 B,660.00 B
2019-07-16 16:17:13,615.27 M,8.48 G,0.00 B,924.00 B
2019-07-16 16:17:15,615.27 M,8.48 G,0.00 B,492.00 B
2019-07-16 16:17:17,615.27 M,8.48 G,318.00 B,1012.00 B
2019-07-16 16:17:19,615.27 M,8.48 G,438.00 B,1.68 K
2019-07-16 16:17:21,615.27 M,8.48 G,0.00 B,324.00 B
2019-07-16 16:17:23,615.29 M,8.48 G,0.00 B,768.00 B
2019-07-16 16:17:25,615.29 M,8.48 G,0.00 B,876.00 B
2019-07-16 16:17:27,615.29 M,8.48 G,252.00 B,782.00 B
2019-07-16 16:17:29,615.29 M,8.48 G,0.00 B,816.00 B
2019-07-16 16:17:31,615.29 M,8.48 G,0.00 B,432.00 B
2019-07-16 16:17:33,615.31 M,8.49 G,0.00 B,492.00 B
2019-07-16 16:17:35,615.31 M,8.49 G,0.00 B,388.00 B
2019-07-16 16:17:37,615.31 M,8.49 G,0.00 B,1.01 K
2019-07-16 16:17:39,615.31 M,8.49 G,0.00 B,1.29 K
2019-07-16 16:17:41,615.32 M,8.49 G,13.81 K,503.27 K
2019-07-16 16:17:43,615.32 M,8.49 G,0.00 B,600.00 B
2019-07-16 16:17:45,615.32 M,8.49 G,0.00 B,876.00 B
2019-07-16 16:17:47,615.32 M,8.49 G,0.00 B,180.00 B
2019-07-16 16:17:49,615.34 M,8.49 G,19.64 K,694.46 K
2019-07-16 16:17:51,615.34 M,8.49 G,252.00 B,1.24 K
2019-07-16 16:17:53,615.34 M,8.49 G,0.00 B,5.99 K
2019-07-16 16:17:55,615.34 M,8.49 G,0.00 B,5.89 K
2019-07-16 16:17:57,615.34 M,8.49 G,0.00 B,492.00 B
2019-07-16 16:17:59,615.36 M,8.49 G,17.49 K,692.50 K
2019-07-16 16:18:01,615.36 M,8.49 G,0.00 B,60.00 B
2019-07-16 16:18:03,615.36 M,8.49 G,0.00 B,1.12 K
2019-07-16 16:18:05,615.36 M,8.49 G,0.00 B,1.05 K
2019-07-16 16:18:07,615.36 M,8.49 G,0.00 B,324.00 B
2019-07-16 16:18:09,615.36 M,8.49 G,84.00 B,1.37 K
2019-07-16 16:18:11,615.38 M,8.49 G,0.00 B,1.23 K
2019-07-16 16:18:13,615.38 M,8.49 G,0.00 B,60.00 B
2019-07-16 16:18:15,615.38 M,8.49 G,0.00 B,708.00 B
2019-07-16 16:18:17,615.38 M,8.49 G,0.00 B,1.11 K
2019-07-16 16:18:19,615.38 M,8.49 G,504.00 B,1.30 K
2019-07-16 16:18:21,615.40 M,8.49 G,0.00 B,1.01 K
2019-07-16 16:18:23,615.40 M,8.49 G,0.00 B,1.11 K
2019-07-16 16:18:25,615.40 M,8.49 G,0.00 B,648.00 B
2019-07-16 16:18:27,615.40 M,8.49 G,252.00 B,1.12 K
2019-07-16 16:18:29,615.40 M,8.49 G,0.00 B,876.00 B
2019-07-16 16:18:31,615.40 M,8.49 G,0.00 B,972.00 B
2019-07-16 16:18:33,615.42 M,8.49 G,18.51 K,680.22 K
2019-07-16 16:18:35,615.42 M,8.49 G,0.00 B,1.70 K
2019-07-16 16:18:37,615.42 M,8.49 G,0.00 B,903.00 B
2019-07-16 16:18:39,615.42 M,8.49 G,0.00 B,1.17 K
2019-07-16 16:18:41,615.42 M,8.49 G,5.54 K,214.23 K
2019-07-16 16:18:43,615.43 M,8.49 G,0.00 B,888.00 B
2019-07-16 16:18:45,615.43 M,8.49 G,0.00 B,336.00 B
2019-07-16 16:18:47,615.43 M,8.49 G,0.00 B,1.01 K
2019-07-16 16:18:49,615.43 M,8.49 G,54.00 B,1.27 K
2019-07-16 16:18:51,615.45 M,8.49 G,252.00 B,1.13 K
2019-07-16 16:18:53,615.45 M,8.49 G,0.00 B,876.00 B
2019-07-16 16:18:55,615.45 M,8.49 G,0.00 B,660.00 B
2019-07-16 16:18:57,615.45 M,8.49 G,0.00 B,1.05 K
2019-07-16 16:18:59,615.46 M,8.49 G,8.19 K,334.74 K
2019-07-16 16:19:01,615.47 M,8.49 G,0.00 B,1.25 K
2019-07-16 16:19:03,615.47 M,8.49 G,0.00 B,1.55 K
2019-07-16 16:19:05,615.47 M,8.49 G,204.00 B,534.00 B
2019-07-16 16:19:07,615.49 M,8.49 G,42.00 B,1.44 K
2019-07-16 16:19:09,615.49 M,8.49 G,0.00 B,1.14 K
2019-07-16 16:19:11,615.49 M,8.49 G,0.00 B,459.00 B
2019-07-16 16:19:13,615.49 M,8.49 G,0.00 B,768.00 B
2019-07-16 16:19:15,615.49 M,8.49 G,0.00 B,1.08 K
2019-07-16 16:19:17,615.51 M,8.49 G,3.16 K,1.72 K
2019-07-16 16:19:19,615.51 M,8.49 G,504.00 B,1.09 K
2019-07-16 16:19:21,615.51 M,8.49 G,0.00 B,708.00 B
2019-07-16 16:19:23,615.51 M,8.49 G,0.00 B,600.00 B
2019-07-16 16:19:25,615.51 M,8.49 G,0.00 B,492.00 B
2019-07-16 16:19:27,615.51 M,8.49 G,252.00 B,938.00 B
2019-07-16 16:19:29,615.52 M,8.49 G,0.00 B,924.00 B
2019-07-16 16:19:31,615.52 M,8.49 G,0.00 B,384.00 B
2019-07-16 16:19:33,615.52 M,8.49 G,0.00 B,324.00 B
2019-07-16 16:19:35,615.52 M,8.49 G,0.00 B,1.54 K
2019-07-16 16:19:37,615.52 M,8.49 G,0.00 B,0.00 B
2019-07-16 16:19:39,615.54 M,8.49 G,18.35 K,691.87 K
2019-07-16 16:19:41,615.54 M,8.49 G,0.00 B,708.00 B
2019-07-16 16:19:43,615.54 M,8.49 G,0.00 B,1.08 K
2019-07-16 16:19:45,615.54 M,8.49 G,0.00 B,720.00 B
2019-07-16 16:19:47,615.54 M,8.49 G,0.00 B,768.00 B
2019-07-16 16:19:49,615.54 M,8.49 G,0.00 B,924.00 B
2019-07-16 16:19:51,615.54 M,8.49 G,252.00 B,950.00 B
2019-07-16 16:19:53,615.56 M,8.49 G,17.79 K,670.86 K
2019-07-16 16:19:55,615.56 M,8.49 G,0.00 B,432.00 B
2019-07-16 16:19:57,615.56 M,8.49 G,0.00 B,276.00 B
2019-07-16 16:19:59,615.56 M,8.49 G,108.00 B,6.13 K
2019-07-16 16:20:01,615.56 M,8.49 G,1.12 K,2.07 K
2019-07-16 16:20:03,615.56 M,8.49 G,54.00 B,432.00 B
2019-07-16 16:20:05,615.56 M,8.49 G,0.00 B,492.00 B
2019-07-16 16:20:07,615.58 M,8.49 G,0.00 B,1.14 K
2019-07-16 16:20:09,615.58 M,8.49 G,0.00 B,816.00 B
2019-07-16 16:20:11,615.58 M,8.49 G,84.00 B,876.00 B
2019-07-16 16:20:13,615.58 M,8.49 G,0.00 B,972.00 B
2019-07-16 16:20:15,615.58 M,8.49 G,0.00 B,891.00 B
2019-07-16 16:20:17,615.58 M,8.49 G,0.00 B,951.00 B
2019-07-16 16:20:19,615.60 M,8.50 G,18.72 K,681.13 K
2019-07-16 16:20:21,615.60 M,8.50 G,0.00 B,708.00 B
2019-07-16 16:20:23,615.60 M,8.50 G,0.00 B,552.00 B
2019-07-16 16:20:25,615.60 M,8.50 G,0.00 B,564.00 B
2019-07-16 16:20:27,615.60 M,8.50 G,252.00 B,890.00 B
2019-07-16 16:20:29,615.62 M,8.50 G,18.61 K,668.94 K
2019-07-16 16:20:31,615.62 M,8.50 G,0.00 B,432.00 B
2019-07-16 16:20:33,615.62 M,8.50 G,0.00 B,1.29 K
2019-07-16 16:20:35,615.62 M,8.50 G,0.00 B,972.00 B
2019-07-16 16:20:38,615.62 M,8.50 G,0.00 B,276.00 B
2019-07-16 16:20:40,615.63 M,8.50 G,13.54 K,573.13 K
2019-07-16 16:20:42,615.64 M,8.50 G,0.00 B,1.17 K
2019-07-16 16:20:44,615.64 M,8.50 G,0.00 B,432.00 B
2019-07-16 16:20:46,615.64 M,8.50 G,0.00 B,1.12 K
2019-07-16 16:20:48,615.64 M,8.50 G,0.00 B,891.00 B
2019-07-16 16:20:50,615.64 M,8.50 G,0.00 B,648.00 B
2019-07-16 16:20:52,615.64 M,8.50 G,252.00 B,290.00 B
2019-07-16 16:20:54,615.65 M,8.50 G,0.00 B,672.00 B
2019-07-16 16:20:56,615.65 M,8.50 G,0.00 B,540.00 B
2019-07-16 16:20:58,615.65 M,8.50 G,0.00 B,648.00 B
2019-07-16 16:21:00,615.65 M,8.50 G,0.00 B,11.26 K
2019-07-16 16:21:02,615.65 M,8.50 G,0.00 B,324.00 B
2019-07-16 16:21:04,615.65 M,8.50 G,0.00 B,1.00 K
2019-07-16 16:21:06,615.67 M,8.50 G,0.00 B,876.00 B
2019-07-16 16:21:08,615.67 M,8.50 G,204.00 B,1.10 K
2019-07-16 16:21:10,615.67 M,8.50 G,0.00 B,324.00 B
2019-07-16 16:21:12,615.67 M,8.50 G,0.00 B,1.16 K
2019-07-16 16:21:14,615.67 M,8.50 G,0.00 B,120.00 B
2019-07-16 16:21:16,615.67 M,8.50 G,0.00 B,648.00 B
2019-07-16 16:21:18,615.69 M,8.50 G,0.00 B,1.22 K
2019-07-16 16:21:20,615.69 M,8.50 G,504.00 B,796.00 B
2019-07-16 16:21:22,615.69 M,8.50 G,0.00 B,612.00 B
2019-07-16 16:21:24,615.69 M,8.50 G,0.00 B,216.00 B
2019-07-16 16:21:26,615.69 M,8.50 G,0.00 B,924.00 B
2019-07-16 16:21:28,615.69 M,8.50 G,252.00 B,398.00 B
2019-07-16 16:21:30,615.71 M,8.50 G,0.00 B,756.00 B
2019-07-16 16:21:32,615.71 M,8.50 G,0.00 B,972.00 B
2019-07-16 16:21:34,615.71 M,8.50 G,0.00 B,1.17 K
2019-07-16 16:21:36,615.71 M,8.50 G,0.00 B,492.00 B
2019-07-16 16:21:38,615.71 M,8.50 G,0.00 B,324.00 B
2019-07-16 16:21:40,615.71 M,8.50 G,0.00 B,936.00 B
2019-07-16 16:21:42,615.73 M,8.50 G,19.86 K,680.27 K
2019-07-16 16:21:44,615.73 M,8.50 G,2.70 K,6.36 K
2019-07-16 16:21:46,615.73 M,8.50 G,0.00 B,492.00 B
2019-07-16 16:21:48,615.73 M,8.50 G,0.00 B,552.00 B
2019-07-16 16:21:50,615.73 M,8.50 G,0.00 B,384.00 B
2019-07-16 16:21:52,615.75 M,8.50 G,19.20 K,678.98 K
2019-07-16 16:21:54,615.75 M,8.50 G,0.00 B,512.00 B
2019-07-16 16:21:56,615.75 M,8.50 G,0.00 B,648.00 B
2019-07-16 16:21:58,615.75 M,8.50 G,0.00 B,1.32 K
2019-07-16 16:22:00,615.75 M,8.50 G,0.00 B,12.64 K
2019-07-16 16:22:02,615.75 M,8.50 G,0.00 B,972.00 B
2019-07-16 16:22:04,615.77 M,8.50 G,18.01 K,674.62 K
2019-07-16 16:22:06,615.77 M,8.50 G,0.00 B,972.00 B
2019-07-16 16:22:08,615.77 M,8.50 G,0.00 B,492.00 B
2019-07-16 16:22:10,615.77 M,8.50 G,204.00 B,1.14 K
2019-07-16 16:22:12,615.77 M,8.50 G,42.00 B,672.00 B
2019-07-16 16:22:14,615.77 M,8.50 G,0.00 B,1.11 K
2019-07-16 16:22:16,615.79 M,8.50 G,0.00 B,888.00 B
2019-07-16 16:22:18,615.79 M,8.50 G,0.00 B,168.00 B
2019-07-16 16:22:20,615.79 M,8.50 G,504.00 B,904.00 B
2019-07-16 16:22:22,615.79 M,8.50 G,0.00 B,216.00 B
2019-07-16 16:22:24,615.79 M,8.50 G,0.00 B,1.08 K
2019-07-16 16:22:26,615.79 M,8.50 G,0.00 B,216.00 B
2019-07-16 16:22:28,615.81 M,8.50 G,0.00 B,1.05 K
2019-07-16 16:22:30,615.81 M,8.50 G,0.00 B,924.00 B
2019-07-16 16:22:32,615.81 M,8.50 G,252.00 B,830.00 B
2019-07-16 16:22:34,615.81 M,8.50 G,0.00 B,876.00 B
2019-07-16 16:22:36,615.81 M,8.50 G,0.00 B,216.00 B
2019-07-16 16:22:38,615.81 M,8.50 G,0.00 B,924.00 B
2019-07-16 16:22:40,615.82 M,8.50 G,18.78 K,676.43 K
2019-07-16 16:22:42,615.82 M,8.50 G,0.00 B,1.02 K
2019-07-16 16:22:44,615.82 M,8.50 G,42.00 B,612.00 B
2019-07-16 16:22:46,615.82 M,8.50 G,0.00 B,864.00 B
2019-07-16 16:22:48,615.82 M,8.50 G,0.00 B,288.00 B
2019-07-16 16:22:50,615.82 M,8.50 G,0.00 B,1.01 K
2019-07-16 16:22:52,615.84 M,8.50 G,13.83 K,492.65 K
2019-07-16 16:22:54,615.84 M,8.50 G,0.00 B,1.02 K
2019-07-16 16:22:56,615.84 M,8.50 G,0.00 B,972.00 B
2019-07-16 16:22:58,615.84 M,8.50 G,0.00 B,396.00 B
2019-07-16 16:23:00,615.84 M,8.50 G,0.00 B,660.00 B
2019-07-16 16:23:02,615.86 M,8.50 G,18.88 K,672.71 K
2019-07-16 16:23:04,615.86 M,8.50 G,0.00 B,1.34 K
