2019-06-04 15:58:28,165.08 M,5.87 G,0.00 B,432.00 B
2019-06-04 15:58:30,165.08 M,5.87 G,0.00 B,720.00 B
2019-06-04 15:58:32,165.08 M,5.87 G,0.00 B,1.22 K
2019-06-04 15:58:34,165.08 M,5.87 G,0.00 B,864.00 B
2019-06-04 15:58:36,165.08 M,5.87 G,0.00 B,1.01 K
2019-06-04 15:58:38,165.08 M,5.87 G,0.00 B,648.00 B
2019-06-04 15:58:40,165.08 M,5.87 G,0.00 B,984.00 B
2019-06-04 15:58:42,165.08 M,5.87 G,0.00 B,936.00 B
2019-06-04 15:58:44,165.08 M,5.87 G,0.00 B,936.00 B
2019-06-04 15:58:46,165.08 M,5.87 G,0.00 B,336.00 B
2019-06-04 15:58:48,165.09 M,5.87 G,0.00 B,708.00 B
2019-06-04 15:58:50,165.09 M,5.87 G,0.00 B,828.00 B
2019-06-04 15:58:52,165.09 M,5.87 G,0.00 B,1.22 K
2019-06-04 15:58:54,165.09 M,5.87 G,0.00 B,1.14 K
2019-06-04 15:58:56,165.09 M,5.87 G,3.21 K,3.67 K
2019-06-04 15:58:58,165.09 M,5.87 G,0.00 B,1008.00 B
2019-06-04 15:59:00,165.09 M,5.87 G,0.00 B,12.86 K
2019-06-04 15:59:02,165.09 M,5.87 G,204.00 B,1.04 K
2019-06-04 15:59:04,165.09 M,5.87 G,42.00 B,1.45 K
2019-06-04 15:59:06,165.09 M,5.87 G,0.00 B,888.00 B
2019-06-04 15:59:08,165.09 M,5.87 G,0.00 B,1.11 K
2019-06-04 15:59:11,165.09 M,5.87 G,0.00 B,816.00 B
2019-06-04 15:59:13,165.09 M,5.87 G,0.00 B,276.00 B
2019-06-04 15:59:15,165.09 M,5.87 G,0.00 B,216.00 B
2019-06-04 15:59:17,165.09 M,5.87 G,0.00 B,1.08 K
2019-06-04 15:59:19,165.10 M,5.87 G,0.00 B,216.00 B
2019-06-04 15:59:21,165.10 M,5.87 G,0.00 B,552.00 B
2019-06-04 15:59:23,165.10 M,5.87 G,0.00 B,708.00 B
2019-06-04 15:59:25,165.10 M,5.87 G,0.00 B,1.07 K
2019-06-04 15:59:27,165.10 M,5.87 G,0.00 B,672.00 B
2019-06-04 15:59:29,165.10 M,5.87 G,0.00 B,660.00 B
2019-06-04 15:59:31,165.10 M,5.87 G,0.00 B,924.00 B
2019-06-04 15:59:33,165.10 M,5.87 G,0.00 B,1.14 K
2019-06-04 15:59:35,165.10 M,5.87 G,0.00 B,1.05 K
2019-06-04 15:59:37,165.10 M,5.87 G,42.00 B,348.00 B
2019-06-04 15:59:39,165.10 M,5.87 G,0.00 B,1.28 K
2019-06-04 15:59:41,165.27 M,5.87 G,108.98 K,89.59 K
2019-06-04 15:59:43,165.50 M,5.87 G,91.49 K,74.88 K
2019-06-04 15:59:45,165.72 M,5.87 G,98.57 K,80.51 K
2019-06-04 15:59:47,165.98 M,5.87 G,119.31 K,97.32 K
2019-06-04 15:59:49,166.10 M,5.87 G,28.16 K,23.55 K
2019-06-04 15:59:51,166.10 M,5.87 G,0.00 B,828.00 B
2019-06-04 15:59:53,166.10 M,5.87 G,0.00 B,864.00 B
2019-06-04 15:59:55,166.10 M,5.87 G,0.00 B,792.00 B
2019-06-04 15:59:57,166.10 M,5.87 G,0.00 B,828.00 B
2019-06-04 15:59:59,166.10 M,5.87 G,0.00 B,600.00 B
2019-06-04 16:00:01,166.10 M,5.87 G,228.00 B,13.36 K
2019-06-04 16:00:03,166.10 M,5.87 G,54.00 B,900.00 B
2019-06-04 16:00:05,166.10 M,5.87 G,182.00 B,634.00 B
2019-06-04 16:00:07,166.10 M,5.87 G,2.34 K,3.39 K
2019-06-04 16:00:09,166.11 M,5.87 G,84.00 B,336.00 B
2019-06-04 16:00:11,166.11 M,5.87 G,0.00 B,888.00 B
2019-06-04 16:00:13,166.11 M,5.87 G,0.00 B,444.00 B
2019-06-04 16:00:15,166.11 M,5.87 G,0.00 B,108.00 B
2019-06-04 16:00:17,166.11 M,5.87 G,0.00 B,756.00 B
2019-06-04 16:00:19,166.11 M,5.87 G,54.00 B,768.00 B
2019-06-04 16:00:21,166.11 M,5.87 G,0.00 B,768.00 B
2019-06-04 16:00:23,166.11 M,5.87 G,286.00 B,746.00 B
2019-06-04 16:00:25,166.11 M,5.87 G,0.00 B,764.00 B
2019-06-04 16:00:27,166.12 M,5.87 G,0.00 B,780.00 B
2019-06-04 16:00:29,166.12 M,5.87 G,0.00 B,384.00 B
2019-06-04 16:00:31,166.12 M,5.87 G,128.00 B,1002.00 B
2019-06-04 16:00:33,166.12 M,5.87 G,128.00 B,1.34 K
2019-06-04 16:00:35,166.12 M,5.87 G,0.00 B,876.00 B
2019-06-04 16:00:37,166.12 M,5.87 G,128.00 B,510.00 B
2019-06-04 16:00:39,166.12 M,5.87 G,0.00 B,672.00 B
2019-06-04 16:00:41,166.12 M,5.87 G,0.00 B,564.00 B
