2019-06-08 20:07:14,2.80 M,158.88 M,0.00 B,984.00 B
2019-06-08 20:07:16,2.80 M,158.89 M,2.56 K,2.85 K
2019-06-08 20:07:18,2.80 M,158.89 M,0.00 B,168.00 B
2019-06-08 20:07:20,2.80 M,158.89 M,2.56 K,2.67 K
2019-06-08 20:07:22,2.80 M,158.89 M,0.00 B,540.00 B
2019-06-08 20:07:24,2.81 M,158.89 M,462.00 B,1.48 K
2019-06-08 20:07:26,2.81 M,158.89 M,0.00 B,540.00 B
2019-06-08 20:07:28,2.81 M,158.90 M,0.00 B,924.00 B
2019-06-08 20:07:31,2.81 M,158.90 M,0.00 B,276.00 B
2019-06-08 20:07:33,2.81 M,158.91 M,0.00 B,7.61 K
2019-06-08 20:07:35,2.81 M,158.95 M,1.48 K,45.79 K
2019-06-08 20:07:37,2.81 M,158.96 M,0.00 B,648.00 B
2019-06-08 20:07:39,2.81 M,158.96 M,0.00 B,1.22 K
2019-06-08 20:07:42,2.81 M,159.00 M,0.00 B,1.24 K
2019-06-08 20:07:44,2.81 M,159.00 M,0.00 B,996.00 B
2019-06-08 20:07:47,2.81 M,159.00 M,0.00 B,816.00 B
2019-06-08 20:07:50,2.81 M,159.00 M,0.00 B,612.00 B
2019-06-08 20:07:52,2.82 M,159.33 M,6.92 K,330.16 K
2019-06-08 20:07:54,2.82 M,159.33 M,0.00 B,492.00 B
2019-06-08 20:07:56,2.83 M,159.65 M,7.11 K,329.93 K
2019-06-08 20:07:58,2.83 M,159.65 M,0.00 B,612.00 B
2019-06-08 20:08:00,2.83 M,159.65 M,0.00 B,708.00 B
2019-06-08 20:08:02,2.84 M,159.99 M,0.00 B,1.97 K
2019-06-08 20:08:04,2.84 M,160.27 M,4.83 K,288.66 K
2019-06-08 20:08:06,2.84 M,160.32 M,0.00 B,1.25 K
2019-06-08 20:08:08,2.85 M,160.64 M,8.98 K,330.94 K
2019-06-08 20:08:10,2.85 M,160.64 M,0.00 B,1.05 K
2019-06-08 20:08:12,2.85 M,160.64 M,0.00 B,471.00 B
2019-06-08 20:08:14,2.86 M,160.97 M,8.15 K,330.39 K
2019-06-08 20:08:16,2.86 M,160.97 M,0.00 B,903.00 B
2019-06-08 20:08:18,2.87 M,161.29 M,8.03 K,330.54 K
2019-06-08 20:08:20,2.87 M,161.29 M,0.00 B,648.00 B
2019-06-08 20:08:22,2.87 M,161.32 M,2.06 K,31.49 K
2019-06-08 20:08:24,2.87 M,161.33 M,0.00 B,0.00 B
2019-06-08 20:08:26,2.87 M,161.34 M,0.00 B,9.00 K
2019-06-08 20:08:28,2.88 M,161.69 M,0.00 B,552.00 B
2019-06-08 20:08:30,2.88 M,161.69 M,0.00 B,444.00 B
2019-06-08 20:08:32,2.89 M,162.04 M,0.00 B,816.00 B
2019-06-08 20:08:34,2.89 M,162.04 M,0.00 B,1.32 K
2019-06-08 20:08:36,2.89 M,162.39 M,0.00 B,492.00 B
2019-06-08 20:08:38,2.89 M,162.39 M,0.00 B,1.17 K
2019-06-08 20:08:40,2.90 M,162.74 M,7.55 K,355.37 K
2019-06-08 20:08:42,2.90 M,162.74 M,0.00 B,1.28 K
2019-06-08 20:08:44,2.91 M,163.09 M,8.13 K,355.24 K
2019-06-08 20:08:46,2.91 M,163.09 M,0.00 B,1.01 K
2019-06-08 20:08:48,2.91 M,163.09 M,0.00 B,432.00 B
2019-06-08 20:08:50,2.92 M,163.44 M,0.00 B,675.00 B
2019-06-08 20:08:52,2.92 M,163.44 M,0.00 B,504.00 B
2019-06-08 20:08:54,2.92 M,163.79 M,7.56 K,355.69 K
2019-06-08 20:08:56,2.92 M,163.79 M,0.00 B,864.00 B
2019-06-08 20:08:58,2.92 M,163.79 M,0.00 B,540.00 B
2019-06-08 20:09:00,2.93 M,164.15 M,0.00 B,13.76 K
2019-06-08 20:09:02,2.93 M,164.15 M,0.00 B,540.00 B
2019-06-08 20:09:04,2.94 M,164.50 M,1.42 K,1.26 K
2019-06-08 20:09:06,2.94 M,164.50 M,0.00 B,660.00 B
2019-06-08 20:09:08,2.94 M,164.85 M,7.35 K,353.42 K
2019-06-08 20:09:10,2.95 M,164.85 M,0.00 B,816.00 B
2019-06-08 20:09:12,2.95 M,164.85 M,0.00 B,756.00 B
2019-06-08 20:09:14,2.95 M,165.20 M,0.00 B,216.00 B
2019-06-08 20:09:16,2.95 M,165.20 M,0.00 B,471.00 B
2019-06-08 20:09:18,2.95 M,165.20 M,0.00 B,660.00 B
2019-06-08 20:09:21,2.96 M,165.53 M,0.00 B,492.00 B
