2019-06-03 15:13:36,12.11 M,361.12 M,0.00 B,1.23 K
2019-06-03 15:13:38,12.11 M,361.12 M,0.00 B,1.28 K
2019-06-03 15:13:40,12.11 M,361.12 M,42.00 B,984.00 B
2019-06-03 15:13:42,12.11 M,361.22 M,2.32 K,104.72 K
2019-06-03 15:13:45,12.11 M,361.28 M,0.00 B,1.07 K
2019-06-03 15:13:47,12.11 M,361.28 M,0.00 B,912.00 B
2019-06-03 15:13:49,12.11 M,361.28 M,0.00 B,1.80 K
2019-06-03 15:13:51,12.11 M,361.28 M,0.00 B,1.15 K
2019-06-03 15:13:54,12.11 M,361.29 M,0.00 B,1.65 K
2019-06-03 15:13:56,12.11 M,361.29 M,0.00 B,1.12 K
2019-06-03 15:13:58,12.11 M,361.29 M,0.00 B,816.00 B
2019-06-03 15:14:00,12.11 M,361.29 M,0.00 B,168.00 B
2019-06-03 15:14:02,12.12 M,361.39 M,5.27 K,22.86 K
2019-06-03 15:14:04,12.12 M,361.40 M,0.00 B,1.89 K
2019-06-03 15:14:06,12.12 M,361.40 M,204.00 B,1.00 K
2019-06-03 15:14:08,12.12 M,361.40 M,0.00 B,492.00 B
2019-06-03 15:14:10,12.13 M,361.52 M,7.47 K,118.88 K
2019-06-03 15:14:12,12.13 M,361.52 M,84.00 B,456.00 B
2019-06-03 15:14:14,12.13 M,361.52 M,0.00 B,888.00 B
2019-06-03 15:14:16,12.13 M,361.52 M,50.00 B,852.00 B
2019-06-03 15:14:18,12.13 M,361.58 M,4.18 K,59.86 K
2019-06-03 15:14:20,12.13 M,361.58 M,0.00 B,516.00 B
2019-06-03 15:14:23,12.13 M,361.59 M,0.00 B,720.00 B
2019-06-03 15:14:25,12.13 M,361.59 M,0.00 B,936.00 B
2019-06-03 15:14:27,12.13 M,361.59 M,0.00 B,600.00 B
2019-06-03 15:14:29,12.14 M,362.21 M,7.17 K,460.50 K
2019-06-03 15:14:31,12.14 M,362.22 M,0.00 B,936.00 B
2019-06-03 15:14:33,12.14 M,362.22 M,0.00 B,660.00 B
2019-06-03 15:14:35,12.14 M,362.22 M,0.00 B,556.00 B
2019-06-03 15:14:37,12.14 M,362.26 M,1.35 K,45.27 K
2019-06-03 15:14:40,12.15 M,362.65 M,0.00 B,1.59 K
2019-06-03 15:14:42,12.15 M,362.65 M,42.00 B,732.00 B
2019-06-03 15:14:44,12.15 M,362.66 M,0.00 B,672.00 B
2019-06-03 15:14:46,12.15 M,362.66 M,0.00 B,612.00 B
2019-06-03 15:14:48,12.16 M,362.91 M,0.00 B,600.00 B
2019-06-03 15:14:50,12.16 M,362.92 M,0.00 B,972.00 B
2019-06-03 15:14:52,12.16 M,362.92 M,0.00 B,552.00 B
2019-06-03 15:14:54,12.16 M,362.92 M,0.00 B,840.00 B
2019-06-03 15:14:56,12.16 M,362.92 M,0.00 B,1.17 K
2019-06-03 15:14:58,12.17 M,363.43 M,0.00 B,396.00 B
2019-06-03 15:15:00,12.17 M,363.43 M,0.00 B,1.42 K
2019-06-03 15:15:02,12.17 M,363.44 M,0.00 B,780.00 B
2019-06-03 15:15:04,12.18 M,363.82 M,11.42 K,384.35 K
2019-06-03 15:15:06,12.19 M,364.34 M,0.00 B,1.28 K
2019-06-03 15:15:08,12.19 M,364.34 M,0.00 B,504.00 B
